127.0.0.1, 2016-04-01 12:27:51, POST, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.069155
127.0.0.1, 2016-04-01 12:27:52, POST, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.065297
127.0.0.1, 2016-04-01 12:27:53, POST, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.083083
127.0.0.1, 2016-04-01 12:27:53, POST, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.051005
127.0.0.1, 2016-04-01 12:27:53, POST, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.066851
127.0.0.1, 2016-04-01 12:27:54, POST, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.076021
127.0.0.1, 2016-04-01 12:27:54, POST, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.074371
127.0.0.1, 2016-04-01 12:28:08, GET, /admin/default/index, HTTP/1.1, 303, 0.014743
127.0.0.1, 2016-04-01 12:28:08, GET, /admin/default/site, HTTP/1.1, 200, 0.119259
127.0.0.1, 2016-04-01 12:28:13, GET, /interface/default/index, HTTP/1.1, 500, 2.222299
127.0.0.1, 2016-04-01 12:28:16, GET, /admin/default/ticket/interface/127.0.0.1.2016-04-01.12-28-11.077ad9e7-6783-4036-949c-0ffd9e394209, HTTP/1.1, 200, 0.180863
127.0.0.1, 2016-04-01 12:29:23, GET, /admin/default/site, HTTP/1.1, 200, 0.202871
127.0.0.1, 2016-04-01 12:29:29, GET, /admin/default/design/interface, HTTP/1.1, 200, 0.453166
127.0.0.1, 2016-04-01 12:29:32, GET, /admin/default/peek/interface/models/db1.py, HTTP/1.1, 200, 0.041681
127.0.0.1, 2016-04-01 12:29:34, GET, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.138025
127.0.0.1, 2016-04-01 12:29:35, GET, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.092620
127.0.0.1, 2016-04-01 12:29:35, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.187597
127.0.0.1, 2016-04-01 12:29:35, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.519861
127.0.0.1, 2016-04-01 12:29:35, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.423822
127.0.0.1, 2016-04-01 12:29:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.624465
127.0.0.1, 2016-04-01 12:29:36, GET, /interface/appadmin/hooks, HTTP/1.1, 500, 0.629435
127.0.0.1, 2016-04-01 12:29:42, POST, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.057434
127.0.0.1, 2016-04-01 12:29:43, POST, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.051446
127.0.0.1, 2016-04-01 12:29:43, POST, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.064689
127.0.0.1, 2016-04-01 12:29:43, POST, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.066500
127.0.0.1, 2016-04-01 12:29:43, POST, /admin/default/edit/interface/models/db1.py, HTTP/1.1, 200, 0.068155
127.0.0.1, 2016-04-01 12:29:45, GET, /admin/default/ticket/interface/127.0.0.1.2016-04-01.12-28-11.077ad9e7-6783-4036-949c-0ffd9e394209, HTTP/1.1, 200, 0.163775
127.0.0.1, 2016-04-01 12:29:45, GET, /admin/static/_2.14.3/js/jquery.js, HTTP/1.1, 304, 0.002402
127.0.0.1, 2016-04-01 12:29:45, GET, /admin/static/_2.14.3/css/calendar.css, HTTP/1.1, 304, 0.001578
127.0.0.1, 2016-04-01 12:29:45, GET, /admin/static/_2.14.3/js/calendar.js, HTTP/1.1, 304, 0.001513
127.0.0.1, 2016-04-01 12:29:45, GET, /admin/static/_2.14.3/js/web2py.js, HTTP/1.1, 304, 0.002060
127.0.0.1, 2016-04-01 12:29:45, GET, /admin/static/_2.14.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001308
127.0.0.1, 2016-04-01 12:29:45, GET, /admin/static/_2.14.3/plugin_multiselect/start.js, HTTP/1.1, 304, 0.003485
127.0.0.1, 2016-04-01 12:29:45, GET, /admin/static/_2.14.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.003289
127.0.0.1, 2016-04-01 12:29:45, GET, /admin/static/_2.14.3/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.005923
127.0.0.1, 2016-04-01 12:29:45, GET, /admin/static/_2.14.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.001320
