SerialN,Name,Ratings,Price,OS,Colour,RAM,Product Dimensions,Connectivity technologies,Special features,Date
116,,3.8 out of 5 stars,,"Android, Kitkat",Santroni White,1 GB,15 x 1 x 7.3 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, 3G, (900/2100 MHz), WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB",2016-04-09
117,,1 out of 5 stars,,,,,22 x 15.3 x 5 cm,,,2016-04-09
118,,,,Android,Black,1 GB,14.4 x 7.2 x 0.9 cm,3G,"Android 4.4.2 KitKat OS, 1.3 GHz Quad Core Processor, 3G With Wifi, 8 MP Primary Camera, 3.2 MP Secondary Camera",2016-04-09
119,,2.8 out of 5 stars,"3,799.00","Android, jellyBean, Android^jellyBean",white,512 MB,47.1 x 26.6 x 13.5 cm,HSDPA,"10.1 cm Touch Screen, DUAL SIM SUPPORT, 1.3 GHz Dual Core Processor, Android Jelly Bean 4.2, 32 GB Expandable Memory",2016-04-09
120,,,"4,999.00","Android, KitKat, Android^KitKat",Yellow,512 MB,14.2 x 8 x 6 cm,HSDPA,"Dual Front Speakers, Wi-Fi Connectivity, Bluetooth 4.0, Pre-loaded  Applications, Dual SIM (GSM + GSM)",2016-04-09
121,,3.9 out of 5 stars,,"Android, Kitkat",White,512 MB,18.7 x 14.5 x 3.8 cm,"GSM, (900/1800 MHz), GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, G sensor, E-mail, Expandable Memory: 32GB",2016-04-09
122,,3.3 out of 5 stars,"18,900.00","Android, Lollipop",White Birch,2 GB,15.8 x 0.8 x 7.8 cm,"GSM, (850/900/1800/1900 MHz), 3G, HSDPA, (850/900/2100 MHz), GPRS, EDGE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 128GB",2016-04-09
123,,3.9 out of 5 stars,"6,250.00","Android, Kitkat",White,1 GB,19.4 x 17 x 4.2 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (2100 MHz), GPRS, WiFi","Dual SIM, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-04-09
124,,3.7 out of 5 stars,"28,490.00","Android, Kitkat",Orange,2 GB,12.7 x 0.9 x 6.5 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (850/900/1700/1900/2100 MHz), 4G LTE, (700/800/850/900/1700/1800/1900/2100/2600 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, FM Radio, GPS, E-mail, Expandable Memory: 128GB",2016-04-09
125,,2.4 out of 5 stars,"5,399.00",Android,White,1 GB,14.4 x 0.9 x 7.3 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-04-09
126,,5 out of 5 stars,,Android,black,,17.6 x 9.6 x 5.4 cm,,Primary Camera,2016-04-09
127,,2.7 out of 5 stars,"3,899.00",Android,White-Silver,512 MB,13.4 x 1 x 6.7 cm,"GSM, 3G, WCDMA, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, G sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-04-09
128,,2 out of 5 stars,,Android,,256 MB,,WCDMA,"Expandable Memory Upto 32GB, A",2016-04-09
129,,4.1 out of 5 stars,"12,999.00",Android,Grey,,15.1 x 0.8 x 7.6 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, 3G, (850/900/2100 MHz), 4G LTE, WiFi 802.11b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Light sensor, Proximity sensor, Digital compass, Fingerprint sensor, E-mail",2016-04-09
130,,3.2 out of 5 stars,,"Android, Kitkat",Black,512 MB,12.6 x 1 x 6.3 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, Music Player, Video Player, FM Radio, Accelerometer, E-mail, Expandable Memory: 32GB",2016-04-09
131,,3.1 out of 5 stars,"9,499.00",Android,Black,,15.6 x 0.7 x 7.7 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, 3G, (900/2100 MHz), 4G LTE, (1800/2300 MHz), WiFi","Dual SIM, Music Player, Video Player, Accelerometer, Magnetometer, Ambient light sensor, Gyroscope, Hall effect sensor, Proximity sensor",2016-04-09
132,,3.5 out of 5 stars,,"Android, Jellybean",Black,1 GB,13.4 x 0.9 x 6.8 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (2100 MHz), WiFi","Music Player, Video Player, FM Radio, E-mail, GPS, Accelerometer, Ambient light sensor, Proximity sensor, Magnetometer, Dual SIM, Expandable Memory: 32GB",2016-04-09
133,,,"6,891.00",Android,white,,15.2 x 9 x 5.1 cm,,"Video Playback, Dual SIM, Primary Camera, LED Flash",2016-04-09
134,,4.5 out of 5 stars,,"Android, jellyBean, Android^jellyBean",White,1.50 GB,16.8 x 8.8 x 0.8 cm,HSDPA,"E-Mail, Music Player, Video Player",2016-04-09
